algorithm,similes,property,value
constant-0,CN1CC2CN(Cc3ccccc3)CCN2c2cccnc21,diff_routes,0.0
constant-0,Cc1c(NC(=O)Cc2cccs2)ccc2[nH]nc(C=Cc3cccc(CN4CCN(C)CC4)c3)c12,diff_routes,0.0
constant-0,COCCOCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1,diff_routes,0.0
constant-0,COc1cc(-c2c3c(nc4cc(OC)c(OC)c(OC)c24)COC3=O)cc(OC)c1OC,diff_routes,0.0
constant-0,Cc1ccc(N2CCN(Cc3ccccc3)C2)cc1,diff_routes,0.0
constant-0,NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)N1,diff_routes,0.0
constant-0,CCC(C)C(=O)c1c(O)c(CC=C(C)C)c(O)c2c(-c3ccccc3)cc(=O)oc12,diff_routes,0.0
constant-0,Cc1c2c(c(C)c3c1[nH]c1ccccc13)CN(C)CC2,diff_routes,0.0
constant-0,COCCCCCCCCCCCCCCCC=C1CC(CO)(COC(=O)C(C)(C)C)OC1=O,diff_routes,0.0
constant-0,Nc1nc(=O)c(CCCCC(=O)O)c(O)[nH]1,diff_routes,0.0
constant-0,CCCCc1nc2ccccc2c2nc(-c3ccc(Cl)cc3)nn12,diff_routes,0.0
constant-0,C=CCNC(=O)N1c2ccccc2Sc2ccccc21,diff_routes,0.0
constant-0,CC(N1CCn2nc(-c3ccc(Cl)cc3)nc2C1)C(O)(Cn1cncn1)c1ccc(F)cc1F,diff_routes,0.0
constant-0,CN(c1ccc([N+](=O)[O-])cc1)c1cc2c(c3c1ccn3C)C1CCC2C1,diff_routes,0.0
constant-0,CS(=O)(=O)NCC1Cn2c(-c3ccccc3)cnc2CO1,diff_routes,0.0
constant-0,NCCC(CN)NCc1ccc(CNC(CN)CCN)cc1,diff_routes,0.0
constant-0,c1ccc(-c2cc(CNc3nncc(-c4cccc5ccccc45)n3)n[nH]2)cc1,diff_routes,0.0
constant-0,CN1CC=C(c2c[nH]c3ccc(C4COCCO4)cc23)CC1,diff_routes,0.0
constant-0,NC(=O)C12CCC(=O)N1CC(=O)N2,diff_routes,0.0
constant-0,Cn1c(C(N)=O)cc2c1CN(C(=O)C1CC(=O)N(C(C)(C)C)C1)CC2,diff_routes,0.0
