algorithm,similes,property,value
constant-0,CCCCN1CCC(C(=O)CC)(c2cccc(O)c2)CC1,sol_time,261.0
constant-0,CCN1C(=O)C(c2cccc(-c3cnn(C)c3)c2)C(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21,sol_time,257.0
constant-0,CCCc1c(C(=O)NCC(N)C(=O)O)[nH]c2cccc(Br)c12,sol_time,191.0
constant-0,C=C(C)COc1cccc(CNC(CC(C)C)c2ncnn2C)c1,sol_time,252.0
constant-0,COC(=O)c1ccc(OC)c(-c2cccc(C(CC(=O)O)c3nccs3)c2)c1,sol_time,250.0
constant-0,Cc1c(CN(C)c2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,sol_time,248.0
constant-0,O=C(C=CNc1ccc([N+](=O)[O-])cc1)c1ccc2c(c1)CCCC2,sol_time,256.0
constant-0,Cc1nc(N)ccc1CNC(=O)Cc1c(C#N)ccc(NCC(F)(F)c2ccccn2)c1F,sol_time,300.0
constant-0,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccc([N+](=O)[O-])cc3C2C1,sol_time,254.0
constant-0,COc1ccc2c(CN3CCOCC3)cn(CCNC(C)=O)c2n1,sol_time,254.0
constant-0,COCCn1c(SCc2nc(O)c3c(C)c(C(=O)OC)sc3n2)nc2ccccc21,sol_time,254.0
constant-0,NC(=O)c1cccc(C2CC3CCC(C2)N3CCN(Cc2ccccc2)C(=O)C2(O)CC2)c1,sol_time,260.0
constant-0,CC(=O)N(CC(Cc1c[nH]c2ccccc12)NC(=O)CN1CCN(c2ccccc2)CC1)c1ccccc1,sol_time,230.0
constant-0,COc1ncc(Nc2ncc(C(C)(C)O)nc2-c2cc(N)nc(C)n2)cc1F,sol_time,362.0
constant-0,Nc1nc(O)c2[nH]cc(Cc3cccs3)c2n1,sol_time,272.0
constant-0,COc1ccc(C2=C(c3ccc(OCc4ccc5ccccc5n4)cc3)C(=O)N(C)C2)cc1,sol_time,216.0
constant-0,CC(C)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)OCCCCN,sol_time,254.0
constant-0,Cn1c(OC2CCN(c3ccc(CN4CCCCC4)cc3)CC2)nc(-c2ccncc2)cc1=O,sol_time,263.0
constant-0,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)CC1,sol_time,243.0
constant-0,CCN(c1ccc(OC)cc1)S(=O)(=O)c1c(C(=O)N2CCCCCC2)c(C)n(C)c1C,sol_time,225.0
constant-0,COc1ccccc1-c1ccc(C(CC(=O)O)NC(=O)C2CCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1,sol_time,232.0
constant-0,CN1CCN(Cc2ccc(-c3cnc(N4CCOC(Cn5nnc6ncc(-c7cccc(C#N)c7)nc65)C4)nc3)cc2)CC1,sol_time,259.0
constant-0,COc1cc(C(=O)C(=O)N2CCCCC2C(=O)OC(CCCc2ccccc2)CCCc2ccccn2)cc(OC)c1OC,sol_time,202.0
constant-0,CC1(C)CC(=O)c2cc(Cl)c(NC3CCCC3)nc2C1,sol_time,247.0
constant-0,CCNC(=O)C1(Nc2nc(NCc3ccccc3)nc(N3CC4CC3CN4C(=O)c3cccc(C(F)(F)F)c3)n2)Cc2ccccc2C1,sol_time,251.0
constant-0,CCN(CC)CCNc1ccc(CO)c2oc3ccccc3c(=O)c12,sol_time,246.0
constant-0,CN1C(C(=O)O)CCCC1C(=O)O,sol_time,246.0
constant-0,CCCCN(CCCC)CCCOc1ccc(S(=O)(=O)c2c(C(C)C)nn3ccccc23)cc1,sol_time,256.0
constant-0,Brc1cccc(-c2nsc(-c3cccc(Br)c3)n2)c1,sol_time,249.0
constant-0,Cc1cccc(CNC(=O)c2cc(-c3nnn(CC4CCC(CO)CC4)n3)cc(C)n2)c1,sol_time,249.0
constant-0,CC(=O)NC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1O,sol_time,245.0
constant-0,Cc1cc(C)nc(N=C(N)NCc2nc3ccccc3[nH]2)n1,sol_time,234.0
constant-0,Cc1c(C(=O)N2CCC(NC(=O)Nc3ccc(C#N)cc3)(c3ccccc3)CC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,sol_time,250.0
Tanimoto-distance,CCOc1ccc(N(CC(=O)NC2CCCCC2)C(=O)CCCC(=O)Nc2ccccn2)cc1,sol_time,253.0
Tanimoto-distance,CN1CCC(=C2c3ccccc3Oc3ccc(Cl)cc32)CC1,sol_time,383.0
Tanimoto-distance,COc1cc(O)c2c(=O)cc(-c3cc(O)c(O)cc3Cc3cccc(Cl)c3)oc2c1,sol_time,94.0
Tanimoto-distance,N#CCCCSC(=S)n1ccnc1,sol_time,304.0
Tanimoto-distance,CSC(=O)C#CC(C)(C)N(C)Cc1ccccc1,sol_time,290.0
Tanimoto-distance,CC(=O)Nc1nc(C)c(-c2nc(C(C)(C)CCO)no2)s1,sol_time,294.0
