algorithm,similes,property,value
Embedding-from-gnn,CCNC(=O)c1noc(-c2cc(Cl)c(O)cc2O)c1-c1cccc(N2CCN(C(C)=O)CC2)c1,sol_time,286.0
Embedding-from-gnn,CN(C)CCN1C(=O)c2c(c3c4ccccc4[nH]c3c3ccccc23)C1=O,sol_time,282.0
Embedding-from-gnn,COCc1cc(O)nc(N=C(N)Nc2ccc(C)cc2)n1,sol_time,293.0
Embedding-from-gnn,CCN(CC)CC#CCC1(O)c2ccccc2-c2ccccc21,sol_time,268.0
Embedding-from-gnn,CC1CCN(C(c2ccc(F)cn2)c2ccc(C(C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,sol_time,277.0
Embedding-from-gnn,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5cnn(Cc6ccncc6)c5)nc3-4)cc2)cn1,sol_time,inf
Embedding-from-gnn,[O-][n+]1nc2c(I)cnn2c2cc(OCc3ccc(Cl)cc3)ccc21,sol_time,280.0
Embedding-from-gnn,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccn4)ccc1c23,sol_time,277.0
Embedding-from-gnn,CCCCC(C=O)NC(=O)OC(CCC)Cc1ccccc1,sol_time,inf
Embedding-from-gnn,C=CCn1nc(Br)c2c(Br)nc(CCC)n2c1=O,sol_time,281.0
Embedding-from-gnn,O=C(C=Cc1ccc(C(F)(F)F)cc1)OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O,sol_time,275.0
Embedding-from-gnn,O=c1n(Cc2nc3ccc(C(F)(F)F)cn3c2CCCCO)c2cnccc2n1C1CC1,sol_time,316.0
Embedding-from-gnn,O=C1NC2CCCCC2c2ccccc21,sol_time,277.0
Embedding-from-gnn,CCN(CC)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1N(C(=O)OC(C)(C)C)c1ccccc1,sol_time,inf
Embedding-from-gnn,CCN1CCN(c2cc(C(=O)Nc3ccc(C)c(Nc4ncnc5cnc(N6CCOCC6)nc45)c3)cc(C(C)(C)C#N)c2)CC1,sol_time,inf
