target_index_in_batch,pos_value_sum,cost_pos_react,pos_value_plus_cost,pos_value_plus_cost_div_temp,index_neg_for_target,neg_value_sum,cost_neg_react,neg_value_plus_cost,neg_value_plus_cost_div_temp,exp_minus_pos_value_plus_cost_div_temp,exp_minus_neg_value_plus_cost_div_temp
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,2,2.809785593653192,2.8028957663424467,5.612681359995639,0.5612681359995639,0.9141902225874019,0.5704851521779105
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,3,3.1210962493449603,3.115550300983136,6.236646550328096,0.6236646550328097,0.9141902225874019,0.5359766646108711
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,4,3.2016126574148167,3.1994973684315666,6.401110025846384,0.6401110025846384,0.9141902225874019,0.5272338964695356
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,5,4.141269194182999,4.135723245821175,8.276992440004173,0.8276992440004174,0.9141902225874019,0.43705368432745945
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,6,4.64112722711467,4.637054919045277,9.278182146159947,0.9278182146159948,0.9141902225874019,0.39541548164823337
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,7,4.682765320786166,4.6791187794263225,9.361884100212489,0.9361884100212489,0.9141902225874019,0.392119589673049
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,8,5.221842302679833,5.21498415030087,10.436826452980704,1.0436826452980703,0.9141902225874019,0.35215542755111173
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,9,5.625203697403649,5.619657749041824,11.244861446445473,1.1244861446445473,0.9141902225874019,0.32481933463651325
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,10,5.778452806115791,5.773860079278957,11.552312885394748,1.1552312885394749,0.9141902225874019,0.3149846761321079
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,11,5.935642539744546,5.930420578850429,11.866063118594974,1.1866063118594974,0.9141902225874019,0.30525545002239235
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,12,5.957500033596065,5.949916086896414,11.907416120492478,1.1907416120492478,0.9141902225874019,0.3039957335500457
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,13,6.156129834852703,6.151304257723037,12.30743409257574,1.230743409257574,0.9141902225874019,0.2920753654214972
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,14,6.256155930968283,6.2494012797022105,12.505557210670492,1.2505557210670493,0.9141902225874019,0.28634562434062183
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,15,6.348498313192584,6.342952364830759,12.691450678023344,1.2691450678023344,0.9141902225874019,0.28107181643440327
