smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Embedding-from-fingerprints
Cc1csc(Nc2cc(Sc3cccc(OCC(=O)OC(C)(C)C)c3)ccn2)n1,7,4.0,2.626287159106634,001-003,1.4163598645507895,4.0,1.0,4,290,0.0,0.0,0.7077922077922079,0.9996998123827392,0.173869455278448
CN(CC(=O)O)S(=O)(=O)c1ccc(OCC#Cc2ccc(Cl)cc2)cc1,33,9.0,3.888720283809515,003-004,3.672826834594206,4.0,1.0,13,600,0.0,0.0,0.6363636363636364,0.9996998123827392,0.03673403012563414
CCc1sc(C2CCOCC2)cc1C(Nc1ccc(C(=O)NCCC(=O)O)cc1)C1CCCCC1,3087,222.0,16.479053683659323,016-018,11.639400296465226,8.0,2.0,222,38047,0.0,0.0,0.7132352941176471,0.9996998123827392,0.03790687769124179
COc1cc(C(F)(F)F)cc2c1nnc1c(C)nc(-c3ccncc3C)n12,21,11.0,4.424306945297657,004-006,3.9176366467782713,6.0,1.0,11,366,0.0,0.0,0.7659574468085106,0.999624765478424,0.11348061880596616
NC(=S)Nc1cc(Br)cc(Br)c1,9,3.0,2.0842605437676287,001-003,1.2185854478945108,2.0,1.0,4,234,0.0,0.0,0.5925925925925926,0.9997748592870545,0.04598765604385435
COc1ccc(Oc2cnn(C(CC3CCCC3)C(=O)Nc3ccn(CC(C)(C)O)n3)c(=O)c2)cc1,10,3.0,1.1089888777596075,001-003,1.1089888777596075,3.0,1.0,4,246,0.0,0.0,0.6204819277108433,0.9996998123827392,0.03606601778058749
CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)OC1CCCCC1,11,5.0,3.785645607103525,003-004,3.785645607103525,3.0,1.0,5,443,0.0,0.0,0.4347826086956522,0.9997748592870545,0.030038925130642102
CCOC(=O)CN1CCN(c2ccc(Br)cc2Cl)C1=O,3,2.0,1.988387857510526,001-003,1.988387857510526,2.0,1.0,2,104,0.0,0.0,0.6914893617021276,0.9996998123827392,0.03088498452990074
CC(N)c1cc2c(Cl)cccc2n1-c1cccc(F)c1,19,8.0,3.266827551583716,003-004,2.784759107122257,7.0,1.0,8,305,0.0,0.0,0.5544554455445545,0.9997748592870545,0.03212558984904901
COc1ncc2c(C(=O)NCc3c(C)cc(C)nc3O)c(C)n([C@H](C)c3ccccc3)c2n1,73,22.0,6.115274043420374,006-008,5.884586364773997,5.0,1.0,22,1150,0.0,0.0,0.6644295302013423,0.9996998123827392,0.02452094460179277
CC(C)(C)NC(=O)c1ccc(Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)cn1,11,4.0,6.572565361302648,006-008,4.690259539920612,4.0,1.0,6,209,0.0,0.0,0.695906432748538,0.9996998123827392,0.08014620608661038
CCCc1nc(N(C)C)n(-c2ccc3c(c2)CC(C)(C)O3)c(=O)c1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,3,2.0,0.3036488744158149,000-001,0.3036488744158149,2.0,1.0,2,61,0.0,0.0,0.6318681318681318,0.9996998123827392,0.04539215583642453
CN(CCN(C)C(=O)OC(C)(C)C)Cc1nn(C2CCCCO2)c2ccc(Oc3ccc(N)cc3)cc12,139,27.0,6.51041687613974,006-008,5.737359906276909,5.0,1.0,46,4069,0.0,0.0,0.63125,0.9996998123827392,0.023975878528844974
CCO[C@H]1CNCC[C@H]1NC(=O)c1cc(Cl)c(C)[nH]1,201,51.0,10.763066085187525,009-011,7.217613710407193,5.0,1.0,51,3429,0.0,0.0,0.7792207792207793,0.999624765478424,0.026444462818796977
CNc1nccc(Oc2ccc(O)c(N)c2)n1,17,4.0,4.115132376300003,004-006,3.559894580438126,2.0,1.0,9,562,0.0,0.0,0.5679012345679013,0.9997748592870545,0.035704099102363385
N#C/C=C/c1ccc(F)c2occc12,11,6.0,3.973267759429672,003-004,3.307572038191977,4.0,1.0,6,319,0.0,0.0,0.7746478873239436,0.999624765478424,0.036929790351244884
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)c2nnn(C3CCN(S(C)(=O)=O)CC3)c2n1,33,13.0,6.151696194941499,006-008,5.9762591324977485,6.0,1.0,17,462,0.0,0.0,0.5945945945945945,0.9996998123827392,0.03816469173556669
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)NC(=O)C(O)=CC(=O)N(Cc2ccc(F)cc2)OC)ccc1OC,19,3.0,8.678225762973778,008-009,3.5784456558758766,3.0,1.0,6,187,0.0,0.0,0.5306122448979591,0.9996998123827392,0.059818123093220654
c1ccc(OCc2nc3c(o2)CCNC3)cc1,110,23.0,9.611703646744704,009-011,7.793653307399833,2.0,1.0,46,2429,0.0,0.0,0.64,0.9997748592870545,0.03366724120806741
O=c1c(Br)c(CCc2ccccc2)ccn1Cc1cccc(F)c1,11,5.0,2.6340720697982314,001-003,2.21877654777761,2.0,1.0,6,329,0.0,0.0,0.4732142857142857,0.9997748592870545,0.04965113366697782
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3CCCC3=O)c(-c3ccc4ncn(-c5ccccc5)c4c3)cc12,397,29.0,8.148030990478105,008-009,4.882761977353058,4.0,1.0,63,8191,0.0,0.0,0.6108108108108108,0.9997748592870545,0.022175059510418094
COc1cc2c(Oc3ccc(N)cc3F)ccnc2cc1OCCCN1CCCC1,9,3.0,1.7233718154840392,001-003,1.6803938956649165,3.0,1.0,5,361,0.0,0.0,0.5263157894736843,0.9997748592870545,0.08414337848488185
CN(C)c1cc(NC(=O)OC(C)(C)C)c(NC(=O)CC(=O)c2cccc(-n3nncc3COC3CCCCO3)c2)cc1Cl,11,5.0,1.3910739447153233,001-003,1.3910739447153233,5.0,1.0,5,224,0.0,0.0,0.53125,0.9997748592870545,0.036763828758180406
CC(Cc1cc2cc(OCCCNc3ccccn3)ccc2[nH]1)C(=O)O,59,6.0,4.828498120255308,004-006,4.709234850438733,3.0,1.0,18,1556,0.0,0.0,0.544,0.9997748592870545,0.03146158258699616
CC(=O)Nc1c(Br)cc2c(c1[N+](=O)[O-])CCC2CCC(=O)O,69,22.0,5.209061663305096,004-006,4.437282276813051,5.0,1.0,22,1985,0.0,0.0,0.7157894736842105,0.9996998123827392,0.03629051433717212
CCOC(=O)Cn1nc(C#N)c2c1C(=O)[C@@H]1C[C@H]21,9518,667.0,14.479227534004144,014-016,9.176907325568417,8.0,2.0,667,138960,0.0,0.0,0.7111111111111111,0.9996998123827392,0.03023000771116946
OCc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,35,6.0,4.862701982034205,004-006,3.6090111648410175,3.0,1.0,13,1188,0.0,0.0,0.6875,0.9996998123827392,0.08002676043760659
CC(C)(C)c1ccccc1N1CCN(C(=O)CCC(=O)NS(=O)(=O)NCC2CC2)CC1,31,6.0,7.800189387317704,006-008,4.760310691178547,4.0,1.0,7,324,0.0,0.0,0.6875,0.9996998123827392,0.05284391592260029
CN(C)c1ncnc2ccc(-c3ccc(F)cc3)cc12,19,4.0,2.3949322180815624,001-003,2.3949322180815624,2.0,1.0,7,636,0.0,0.0,0.6237623762376238,0.9997748592870545,0.06448789752279183
Cn1c2c(c3ccc(-n4ccc(-c5ccc(Cl)cc5)cc4=O)cc31)CCN(C(=O)OC(C)(C)C)C2,15,4.0,2.6134851856878973,001-003,2.5081746813138124,4.0,1.0,4,262,0.0,0.0,0.6914893617021276,0.9996998123827392,0.046230424693848415
Cc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3nc(OC4CCC(O)CC4)c4cn[nH]c4n3)cc2)c1,62,27.0,6.638448849100676,006-008,4.796365020886261,3.0,1.0,27,1155,0.0,0.0,0.7438423645320197,0.999624765478424,0.034573327613925064
C=CCOC[C@H](NC[C@@H](O)[C@@H](N)Cc1cc(F)cc(F)c1)c1ccccc1,19,7.0,3.090476744567692,003-004,3.090476744567692,3.0,1.0,7,286,0.0,0.0,0.6412213740458015,0.9996998123827392,0.04151288000474074
Cc1[nH]c(-c2ccccc2NCc2ccccc2)cc1C(N)=O,71,22.0,5.514733587555318,004-006,5.366175648785029,7.0,1.0,22,1810,0.0,0.0,0.5887850467289719,0.9997748592870545,0.034576002064420686
O=C1NCCCOc2cccc(n2)[C@H]2CCCN2c2ccn3ncc1c3n2,7,4.0,2.750199889869398,001-003,2.750199889869398,4.0,1.0,4,175,0.0,0.0,0.5694444444444444,0.9996998123827392,0.04486092837791644
CCCCCCCC(=O)N(C)Cc1cc(-c2ccc(C=O)cc2)ccc1OCc1ccccc1,139,23.0,5.344584029437861,004-006,5.071673296679983,4.0,1.0,23,2968,0.0,0.0,0.6333333333333333,0.9997748592870545,0.032485058867684824
NC(=O)Nc1cccc(CCCCOCCCCCCBr)c1,21,7.0,2.521077259787398,001-003,2.3595011500842857,3.0,1.0,8,484,0.0,0.0,0.6603773584905661,0.9996998123827392,0.059011750366665394
Cn1ncc(-n2cc(I)cn2)c1CCc1ccc(C(F)(F)F)cc1,346,74.0,8.650540321712597,008-009,7.495670046600691,7.0,2.0,74,6884,0.0,0.0,0.6091954022988506,0.9997748592870545,0.14940254883157356
CN(C)C(=O)c1nn(-c2ccnc(N)n2)c2cc(C#CC(C)(O)c3ncccn3)ccc12,54,8.0,7.259452369339216,006-008,3.878817933611381,4.0,1.0,9,560,0.0,0.0,0.7651006711409396,0.999624765478424,0.029709446434392328
Cc1cc(C(=O)NCc2cccc(O[Si](C)(C)C(C)(C)C)c2)cc(Cl)c1O,46,6.0,8.899154674060526,008-009,5.375889527087381,4.0,1.0,9,588,0.0,0.0,0.6326530612244898,0.9997748592870545,0.12507488347305018
CC(C)c1ccccc1-n1c(-c2ccccc2)nc2cccc(-c3ccccc3)c21,9,4.0,1.6779201344380574,001-003,0.5496939282767709,4.0,1.0,4,476,0.0,0.0,0.65,0.9997748592870545,0.0476375500088847
