smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-TIMES10,Tanimoto-distance-EXP,Tanimoto-distance-SQRT,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Tanimoto-distance-NUM_NEIGHBORS_TO_1_TIMES1000
Nc1ncnc2c1c(-c1cccc(OC[C@@H]3CCCO3)c1)cn2[C@@H]1C[C@H](N2CCS(=O)CC2)C1,7,2.0,3.4629329817477816,003-004,2.6689214133197923,2.0,1.0,4,203,0.0,0.0,0.5217391304347826,5.217391304347826,0.6849554603609898,0.7223151185146152,0.000150093808630394,0.150093808630394
CC(Cc1ccc(N2CCN(C)CC2)cc1)C(=O)O,13,4.0,5.203505836096102,004-006,2.939042788281678,2.0,1.0,6,403,0.0,0.0,0.43243243243243246,4.324324324324325,0.5410013500621447,0.6575959492214292,7.5046904315197e-05,0.075046904315197
O=C(Nc1cccnn1)N1CCN(c2cccc(-c3ccc(F)cc3F)c2)CC1,5,2.0,2.4539003616873782,001-003,2.4539003616873782,2.0,1.0,3,313,0.0,0.0,0.7133333333333334,7.133333333333334,1.040782542026315,0.8445906306213286,0.000225140712945591,0.225140712945591
COC(=O)c1ccc(F)c(-c2c(F)cc(C3(O)CCC3)cc2F)n1,42,4.0,5.430666878753615,004-006,4.430643926131818,4.0,1.0,8,510,0.0,0.0,0.3846153846153846,3.846153846153846,0.46904919384901667,0.6201736729460422,0.000150093808630394,0.150093808630394
CC(C)(C)NC(=O)N1CCn2c(Br)c(-c3cccc(F)c3)c(C(N)=O)c2C1,90,27.0,7.15657818816402,006-008,6.820643851167453,7.0,2.0,27,2100,0.0,0.0,0.423728813559322,4.23728813559322,0.5276472603826416,0.6509445549041193,7.5046904315197e-05,0.075046904315197
CCc1cc(N)nn1Cc1cc(Cl)ccc1OCC(C)C,421,65.0,9.584004679790487,009-011,7.959674877315612,7.0,2.0,65,5556,0.0,0.0,0.6634615384615384,6.634615384615384,0.9415012974504313,0.8145314840210527,0.000225140712945591,0.225140712945591
Cc1ccc(OCCOc2ccc3c(c2)CC[C@H]3CC(=O)O)c(C)n1,11,4.0,1.3904241533681347,001-003,1.2441539139984328,4.0,1.0,4,269,0.0,0.0,0.6238532110091743,6.238532110091743,0.866104701555086,0.7898437889919591,0.000225140712945591,0.225140712945591
Cc1c(-c2ccccc2)n(C)c2ccc(-c3ccc(OCc4nnn[nH]4)cc3)cc12,11,6.0,1.8885005127101384,001-003,1.5722622047545407,5.0,1.0,6,579,0.0,0.0,0.5231788079470199,5.231788079470199,0.6873829998641183,0.7233110036125676,0.000150093808630394,0.150093808630394
COc1cc(OC)c(F)c(N2Cc3cnc4[nH]ccc4c3N(CCO)C2=O)c1F,17,1.0,3.0414315334726787,003-004,2.620564889466232,1.0,1.0,7,395,0.0,0.0,0.21238938053097345,2.1238938053097343,0.23662931072116056,0.46085722358554115,7.5046904315197e-05,0.075046904315197
C[Si](C)(C)CCOCn1cc(C#N)nc1C(=O)Nc1ccc(C(CO)CO)cc1C1=CCCCC1,15,4.0,2.861710962717676,001-003,2.341253009999503,4.0,1.0,8,403,0.0,0.0,0.6062992125984252,6.062992125984252,0.833632941030169,0.7786521769046981,0.000225140712945591,0.225140712945591
CCCN(CCCOc1ccc2c(c1)CC[C@H]2CC(=O)OCC)c1nc(Cl)ncc1C,17,7.0,1.8596492048093152,001-003,1.706831147892916,5.0,1.0,7,328,0.0,0.0,0.5546218487394958,5.546218487394958,0.7412823921266272,0.7447293795329253,0.000150093808630394,0.150093808630394
CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(C(=O)c3ccc(Cl)s3)CC2)CC1,574,95.0,10.253495327603558,009-011,6.599635641906682,7.0,1.0,95,13907,0.0,0.0,0.6161616161616161,6.161616161616161,0.85180643896017,0.7849596270902193,0.000225140712945591,0.225140712945591
CNS(=O)(=O)c1ccc(OC)c(C(=O)OC)c1,7,3.0,2.1666208363368646,001-003,2.14879417253576,2.0,1.0,4,258,0.0,0.0,0.5373134328358209,5.3731343283582085,0.7114028817159397,0.7330166661378313,0.000150093808630394,0.150093808630394
FC(F)(F)c1cccc(N2CCN(CC[C@@H]3CC[C@@H](Nc4ncccn4)CC3)CC2)c1,53,19.0,4.3280021159220246,004-006,3.650030773939749,4.0,1.0,19,1520,0.0,0.0,0.6612903225806452,6.612903225806452,0.9372904519821315,0.8131975913519698,0.000225140712945591,0.225140712945591
C[Si](C)(C)CCOCn1nc(C(=O)Nc2cnn(Cc3cccc(C#N)c3)c2)c2ccc(N3CCC(O)C3)cc21,46,10.0,4.85077390511614,004-006,4.293829994167342,4.0,1.0,14,639,0.0,0.0,0.6946107784431137,6.9461077844311365,1.0029293389305498,0.8334331277571787,0.000225140712945591,0.225140712945591
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3ccoc3)c2F)c(-c2ccnc(N)n2)s1,7,4.0,0.9733302954393616,000-001,0.9733302954393616,4.0,1.0,4,138,0.0,0.0,0.7085714285714286,7.085714285714286,1.0310876313619874,0.8417668492946421,0.000225140712945591,0.225140712945591
COc1cc(C2CN(C(=O)OC(C)(C)C)C2)ccc1OCc1ccc(C2CC2)cc1,17,3.0,3.1503688727649632,003-004,2.697858674474101,3.0,1.0,7,481,0.0,0.0,0.6120689655172413,6.120689655172413,0.8442431296927593,0.7823483658302364,0.000150093808630394,0.150093808630394
CC(=O)O/N=C(\N)[C@H](C)NC(=O)OC(C)(C)C,11,4.0,4.23787896100532,004-006,3.794066449057227,4.0,1.0,4,134,0.0,0.0,0.49122807017543857,4.912280701754385,0.6343220502200613,0.7008766440504623,7.5046904315197e-05,0.075046904315197
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2nc(NCCCN(C)C)ncc2c1,5,3.0,0.6478465222690581,000-001,0.6478465222690581,3.0,1.0,3,183,0.0,0.0,0.6225165562913908,6.225165562913908,0.8636120301934689,0.7889971839565657,0.000225140712945591,0.225140712945591
O=C(O)Cc1ccc(NC(=O)c2c(Cl)ccc(OCc3cccc(Cl)c3)c2F)cc1,66,8.0,3.914063408656592,003-004,3.242201381589193,6.0,1.0,11,1694,0.0,0.0,0.5952380952380952,5.9523809523809526,0.8134626703885157,0.7715167498104596,0.000150093808630394,0.150093808630394
CNCC(O)Cn1c(=O)c2c(C)[nH]nc2c2cc(Cl)ccc21,7,2.0,2.83240754007268,001-003,2.559428338063636,2.0,1.0,4,237,0.0,0.0,0.6082474226804124,6.082474226804124,0.837208725271005,0.7799021878930796,0.000225140712945591,0.225140712945591
COc1cc(N2CCN(CC(=O)N(C)C)CC2)c(N)cc1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1,7,4.0,1.821105302612787,001-003,1.821105302612787,4.0,1.0,4,196,0.0,0.0,0.6394557823129252,6.394557823129253,0.8954490616594071,0.7996597916069841,0.000225140712945591,0.225140712945591
CC(C)(C)OC(=O)NCCC(=O)c1cccc(O)c1,13,1.0,2.9109941291217334,001-003,2.9109941291217334,1.0,1.0,7,453,0.0,0.0,0.5294117647058824,5.294117647058823,0.6979332305476043,0.7276068751089989,0.000150093808630394,0.150093808630394
COCCOc1cc(C(=O)O)cc(C(C)(C)C)c1,21,3.0,6.9343067059698695,006-008,3.618110660268085,2.0,1.0,7,622,0.0,0.0,0.5441176470588236,5.4411764705882355,0.723087340244551,0.7376433061167326,0.000150093808630394,0.150093808630394
Cc1nc2cc(-c3ccc(C=C4SC(=O)NC4=O)cn3)cc(OCc3ccccc3)c2o1,100,11.0,7.972724907817842,006-008,5.917979379288759,4.0,1.0,27,2475,0.0,0.0,0.5886524822695036,5.886524822695036,0.8015591461317921,0.7672369140425294,0.000150093808630394,0.150093808630394
O=C(NCc1cccnc1)c1ccc2c(c1)ncn2-c1cccc(NCc2cccnc2)c1,37,8.0,4.451856761132469,004-006,3.853119490807445,5.0,1.0,19,1125,0.0,0.0,0.6753246753246753,6.753246753246753,0.964670752543549,0.8217814036133182,0.000225140712945591,0.225140712945591
CNCCN(c1ccccc1)c1cccc2[nH]ccc12,132,56.0,6.708816336711246,006-008,5.689229291335977,3.0,1.0,56,4255,0.0,0.0,0.6262626262626263,6.262626262626263,0.8706063436723679,0.7913675671030664,0.000150093808630394,0.150093808630394
Cc1cc(N)c2c(c1C1CCNCC1)CCO2,31,10.0,5.572398053144064,004-006,4.675792219662943,4.0,1.0,16,650,0.0,0.0,0.42500000000000004,4.25,0.5295904196633787,0.6519202405202649,0.000150093808630394,0.150093808630394
CC(=O)OCc1cccc(C#N)c1Br,15,2.0,4.135173566023639,004-006,3.1374515004228427,2.0,1.0,7,555,0.0,0.0,0.5873015873015873,5.8730158730158735,0.7991270720550561,0.7663560447348134,0.000150093808630394,0.150093808630394
CC(C)(C)C1CCC(=Cc2ccc3cc(CN4CCC(C(=O)O)CC4)ccc3c2)CC1,688,80.0,17.5573625519052,016-018,11.827237586893856,7.0,2.0,80,9991,0.0,0.0,0.6639344262295082,6.639344262295081,0.9424196267817335,0.8148217143826667,0.000225140712945591,0.225140712945591
CCOC(=O)CC1CCC(N(CCNS(C)(=O)=O)C(=O)OC(C)(C)C)CC1,183,25.0,5.712549235216125,004-006,5.57601992802267,4.0,1.0,48,4247,0.0,0.0,0.6382978723404256,6.382978723404255,0.8932555724651305,0.7989354619369612,0.000150093808630394,0.150093808630394
CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)COc1ccc(CCSc2ccccc2C(=O)O)cc1,8,4.0,1.492173073654044,001-003,1.492173073654044,4.0,1.0,4,193,0.0,0.0,0.5592105263157895,5.592105263157895,0.7492909358535886,0.7478038020201485,0.000150093808630394,0.150093808630394
COc1cc(OC)c(NC(=O)Cn2c(=O)n(-c3ccc(CC(=O)O)cc3)c(=O)c3ccccc32)cc1Cl,381,62.0,9.25331093906356,009-011,8.497958389268279,5.0,1.0,65,9555,0.0,0.0,0.7096774193548387,7.096774193548388,1.0333352382497143,0.842423539174232,0.000225140712945591,0.225140712945591
