algorithm,similes,property,value
constant-0,CC(C)n1c(=O)[nH]n(-c2ccccc2)c1=O,diff_routes,0.0
constant-0,C#CCN1C(=O)COc2cc(F)c(-n3nnc4c(c(C(F)(F)F)nn4C)c3=O)cc21,diff_routes,0.0
constant-0,O=c1c(O)coc2cc(O)cc(O)c12,diff_routes,1.0
constant-0,O=C(CSc1nc2c(c(=O)[nH]1)CN(Cc1ccc(F)cc1)CC2)Nc1cccc(C(F)(F)F)c1,diff_routes,1.0
constant-0,CC(C)CCC1=C(N)C(=O)c2ccccc2C1=O,diff_routes,1.0
constant-0,O=C(c1ccccc1)C1CCN(C(=O)c2cc(Cc3nnc(O)c4c3NCCC4)ccc2F)CC1,diff_routes,1.0
constant-0,COCCCOc1cc(C(=O)N(CC2CNCC2NS(=O)(=O)c2ccc(OC)cc2)C(C)C)ccc1OC,diff_routes,1.0
Tanimoto-distance,CCCSc1nsnc1OC1CN2CCC1C2,sol_time,51.0
Tanimoto-distance,Cn1nc(N)c2c3c(c(N4CCCCC4)nc21)CN(Cc1ccccc1)CC3,sol_time,inf
Tanimoto-distance,COc1ccccc1CNC1C(c2ccccc2)NC2CCCC21,sol_time,323.0
Tanimoto-distance,Cc1c(C(N)C(=O)OCCCCO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,sol_time,620.0
Tanimoto-distance,CC(C)NC(=O)CN1CCN(C(c2cc3ccccc3o2)c2nnnn2C(C)(C)C)CC1,sol_time,inf
Tanimoto-distance,NCC1(CC(=O)O)CCCCC1C1CCCCC1,sol_time,551.0
Tanimoto-distance,Fc1ccccc1Cc1nc(-c2nc(C(F)(F)F)n[nH]2)c2ccccn12,sol_time,inf
Tanimoto-distance,Cc1cc(CN(Cc2ccccc2)Cc2nc3ccccc3[nH]2)c(O)c(CN(Cc2nc3ccccc3[nH]2)Cc2nc3ccccc3[nH]2)c1,sol_time,614.0
Tanimoto-distance,COc1ccc(C2C(CCCc3ccccc3)OC(=O)N2c2ccc(OC)cc2)cc1,sol_time,inf
Tanimoto-distance,COC(=O)NC1=NC(c2cccc(OC)c2)CN1C,sol_time,inf
Tanimoto-distance,O=C(O)c1ccc2nc(C(=O)O)cc(Cc3ccc(O)c(O)c3)c2c1,sol_time,572.0
Tanimoto-distance,CC(=O)OCC(CO)OCn1cnc2c(F)nc(N)nc21,sol_time,295.0
Tanimoto-distance,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCCN(Cc2cccnc2)CCCN(S(=O)(=O)c2ccc(C)cc2)C1,sol_time,inf
Tanimoto-distance,CCCCCn1nc(C(=O)N(CC(C)C)c2c(N)n(CCCC)c(=O)[nH]c2=O)c2ccccc2c1=O,sol_time,inf
Tanimoto-distance,NS(=O)(=O)c1ccc2nc(-n3cc(C=O)c(-c4ccc([N+](=O)[O-])cc4)n3)sc2c1,sol_time,176.0
Tanimoto-distance,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC2CN(C(=O)c3ccccc3Cl)CC2c2ccccc2)CC1,sol_time,386.0
Tanimoto-distance,COc1c(C(=O)O)c(O)c(NS(=O)(=O)c2ccc(C)cc2)c2occc12,sol_time,305.0
Tanimoto-distance,COCC(=O)N1CCN(Cc2ccc3[nH]c(-c4cc5cc(-c6cn[nH]c6)ccc5[nH]c4=O)cc3c2)CC1,sol_time,361.0
Tanimoto-distance,CN1CCC=C(c2nsnc2OCCCO)C1,sol_time,404.0
Tanimoto-distance,Cc1ccc(C)c(N2c3cc(Cl)ccc3S(=O)(=O)c3c(N)n[nH]c32)c1,sol_time,156.0
Tanimoto-distance,C=C1CC(c2cccc(Br)n2)OC1=O,sol_time,60.0
Tanimoto-distance,O=C(CN1CCOCCOCCN(CC(=O)Nc2ccccc2)CCOCC1)Nc1ccccc1,sol_time,inf
Tanimoto-distance,COc1ccc2c(=O)c3c(=O)n(-c4ccc(C)cc4)c(-c4ccccc4)nc3oc2c1,sol_time,inf
Tanimoto-distance,CCOC(=O)N1CCN(C2=C(NS(=O)(=O)c3ccc(C)cc3)C(=O)c3ccccc3C2=O)CC1,sol_time,inf
Tanimoto-distance,O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1CCCCC1,sol_time,inf
Tanimoto-distance,COc1ccccc1-c1cc(C(=O)O)nc2c(-c3cccc(O)c3)nc(N3CCOCC3)nc12,sol_time,inf
Tanimoto-distance,O=C(C1CCCCC1)n1nc(-c2ccccc2)c2c1CCN(S(=O)(=O)c1ccc(F)cc1)C2,sol_time,221.0
Tanimoto-distance,CCN(CC)CC1CN(CCc2ccccc2)Cc2nccn2C1,sol_time,623.0
Tanimoto-distance,CS(=O)(=O)CCN1CC(c2ccccc2)(c2ccccc2)CCC1=O,sol_time,439.0
